state,county,county_id,year,treat,dem_share_pre,dem_share_gov,dem_share_sen,cvap,state_year
CA,Alameda,1,2020,0,0.8192111601553381,,,1104010,CA_2020
CA,Alameda,1,2022,1,,0.7931774354518423,,1104010,CA_2022
CA,Alameda,1,2024,1,0.7801339913171128,,,1104010,CA_2024
CA,Alpine,2,2020,0,0.6611111111111111,,,1150,CA_2020
CA,Alpine,2,2022,0,,0.5864297253634895,,1150,CA_2022
CA,Alpine,2,2024,0,0.6634349030470914,,,1150,CA_2024
CA,Amador,3,2020,1,0.3750575029901555,,,33475,CA_2020
CA,Amador,3,2022,1,,0.3230769230769231,,33475,CA_2022
CA,Amador,3,2024,1,0.3570019723865877,,,33475,CA_2024
CA,Butte,4,2020,1,0.508552180402598,,,163370,CA_2020
CA,Butte,4,2022,1,,0.4348642343424304,,163370,CA_2022
CA,Butte,4,2024,1,0.4838579102256938,,,163370,CA_2024
CA,Calaveras,5,2020,1,0.3781809968378256,,,36995,CA_2020
CA,Calaveras,5,2022,1,,0.3344161958568738,,36995,CA_2022
CA,Calaveras,5,2024,1,0.3557699759745795,,,36995,CA_2024
CA,Colusa,6,2020,0,0.4152542372881356,,,12605,CA_2020
CA,Colusa,6,2022,0,,0.2792161093131967,,12605,CA_2022
CA,Colusa,6,2024,0,0.3551497443389335,,,12605,CA_2024
CA,Contra Costa,7,2020,0,0.731447503175158,,,791470,CA_2020
CA,Contra Costa,7,2022,0,,0.6830603624682435,,791470,CA_2022
CA,Contra Costa,7,2024,0,0.6962582825493433,,,791470,CA_2024
CA,Del Norte,8,2020,0,0.4199138085832286,,,20655,CA_2020
CA,Del Norte,8,2022,0,,0.3897313432835821,,20655,CA_2022
CA,Del Norte,8,2024,0,0.4155869459327813,,,20655,CA_2024
CA,El Dorado,9,2020,1,0.4549749248627257,,,147070,CA_2020
CA,El Dorado,9,2022,1,,0.3894621691421095,,147070,CA_2022
CA,El Dorado,9,2024,1,0.4383983384185568,,,147070,CA_2024
CA,Fresno,10,2020,1,0.539946683674183,,,624635,CA_2020
CA,Fresno,10,2022,1,,0.4492183399137321,,624635,CA_2022
CA,Fresno,10,2024,1,0.4774903008011286,,,624635,CA_2024
